origin_root,relative_path,path,category,size_bytes,description,schema_preview,aggregate_metrics_only,per_epoch_metrics,per_sample_predictions,saved_model_inference,explainability_analyses
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,data\manifest.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\data\manifest.csv,csv,612663,Manifest linking image paths to labels and splits.,"dataset, image_path, label, stack_id, patient_id, source",False,False,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\focus_binary_benchmark,data\manifest.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\focus_binary_benchmark\data\manifest.csv,csv,612663,Manifest linking image paths to labels and splits.,"dataset, image_path, label, stack_id, patient_id, source",False,False,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\scripts (2),data\manifest.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\scripts (2)\data\manifest.csv,csv,612663,Manifest linking image paths to labels and splits.,"dataset, image_path, label, stack_id, patient_id, source",False,False,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,data\manifest_with_splits.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\data\manifest_with_splits.csv,csv,640216,Manifest linking image paths to labels and splits.,"dataset, image_path, label, stack_id, patient_id, source, split",False,False,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\focus_binary_benchmark,data\manifest_with_splits.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\focus_binary_benchmark\data\manifest_with_splits.csv,csv,640216,Manifest linking image paths to labels and splits.,"dataset, image_path, label, stack_id, patient_id, source, split",False,False,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\scripts (2),data\manifest_with_splits.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\scripts (2)\data\manifest_with_splits.csv,csv,640216,Manifest linking image paths to labels and splits.,"dataset, image_path, label, stack_id, patient_id, source, split",False,False,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark,data\manifest_with_splits_with_splits.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\data\manifest_with_splits_with_splits.csv,csv,640216,Manifest linking image paths to labels and splits.,"dataset, image_path, label, stack_id, patient_id, source, split",False,False,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\focus_binary_benchmark,data\manifest_with_splits_with_splits.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\focus_binary_benchmark\data\manifest_with_splits_with_splits.csv,csv,640216,Manifest linking image paths to labels and splits.,"dataset, image_path, label, stack_id, patient_id, source, split",False,False,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\scripts (2),data\manifest_with_splits_with_splits.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\scripts (2)\data\manifest_with_splits_with_splits.csv,csv,640216,Manifest linking image paths to labels and splits.,"dataset, image_path, label, stack_id, patient_id, source, split",False,False,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs,paper_ready_outputs\artifact_inventory.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs\paper_ready_outputs\artifact_inventory.csv,csv,1507201,CSV artifact.,"origin_root, relative_path, path, category, size_bytes, description, schema_preview, aggregate_metrics_only, per_epoch_metrics, per_sample_predictions, saved_model_inference, explainability_analyses",False,False,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs,paper_ready_outputs\calibration_summary.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs\paper_ready_outputs\calibration_summary.csv,csv,559,CSV artifact.,"family, display_name, ece, brier_score",False,False,False,False,True
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs,paper_ready_outputs\derived_metrics_all_models.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs\paper_ready_outputs\derived_metrics_all_models.csv,csv,42636,Aggregate evaluation metrics; may also include confusion counts and calibration fields.,"source_group, family, model_name, display_name, split, dataset, threshold, auc, source_path, tn, fp, fn",True,False,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs,paper_ready_outputs\derived_metrics_summary_table.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs\paper_ready_outputs\derived_metrics_summary_table.csv,csv,4202,Aggregate evaluation metrics; may also include confusion counts and calibration fields.,"rank_balanced_primary, family, model_name, display_name, accuracy, precision, recall, f1, auc, balanced_accuracy, mcc, specificity",True,False,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs,paper_ready_outputs\efficiency_summary.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs\paper_ready_outputs\efficiency_summary.csv,csv,1180,CSV artifact.,"family, model_name, params_count, latency_ms_mean, latency_ms_p95, model_file_size_mb, layer_count, hardware, input_size, tuning_walltime_s, feature_extraction_time_s",False,False,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs,paper_ready_outputs\explainability_samples.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs\paper_ready_outputs\explainability_samples.csv,csv,8002,CSV artifact.,"family, display_name, case_type, image_path, y_true, y_prob, foreground_focus_share, border_focus_share, orig_image, gradcam_image, occlusion_image",False,False,True,False,True
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs,paper_ready_outputs\extracted_archives\focus_binary_benchmark\data\manifest.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs\paper_ready_outputs\extracted_archives\focus_binary_benchmark\data\manifest.csv,csv,612663,Manifest linking image paths to labels and splits.,"dataset, image_path, label, stack_id, patient_id, source",False,False,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs,paper_ready_outputs\extracted_archives\focus_binary_benchmark\data\manifest_with_splits.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs\paper_ready_outputs\extracted_archives\focus_binary_benchmark\data\manifest_with_splits.csv,csv,640216,Manifest linking image paths to labels and splits.,"dataset, image_path, label, stack_id, patient_id, source, split",False,False,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs,paper_ready_outputs\extracted_archives\focus_binary_benchmark\data\manifest_with_splits_with_splits.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs\paper_ready_outputs\extracted_archives\focus_binary_benchmark\data\manifest_with_splits_with_splits.csv,csv,640216,Manifest linking image paths to labels and splits.,"dataset, image_path, label, stack_id, patient_id, source, split",False,False,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs,paper_ready_outputs\extracted_archives\focus_binary_benchmark\reports\final\leaderboard.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs\paper_ready_outputs\extracted_archives\focus_binary_benchmark\reports\final\leaderboard.csv,csv,1170,Aggregate benchmark leaderboard for saved family representatives.,"rank, family, model_name, params_count, input_size, auc, f1, acc, precision, recall, fp, fn",True,False,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs,paper_ready_outputs\extracted_archives\focus_binary_benchmark\reports\final\per_dataset_metrics.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs\paper_ready_outputs\extracted_archives\focus_binary_benchmark\reports\final\per_dataset_metrics.csv,csv,2729,Aggregate evaluation metrics; may also include confusion counts and calibration fields.,"family, dataset, eval_type, seed, auc, f1, acc, precision, recall, fp, fn",True,False,False,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs,paper_ready_outputs\extracted_archives\focus_binary_benchmark\reports\final\predictions.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs\paper_ready_outputs\extracted_archives\focus_binary_benchmark\reports\final\predictions.csv,csv,530594,Per-sample prediction probabilities and labels.,"image_path, y_true, y_prob, split, dataset, family, model",False,False,True,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs,paper_ready_outputs\extracted_archives\focus_binary_benchmark\reports\final\predictions_cnn_focus_hybrid.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs\paper_ready_outputs\extracted_archives\focus_binary_benchmark\reports\final\predictions_cnn_focus_hybrid.csv,csv,95043,Per-sample prediction probabilities and labels.,"image_path, y_true, y_prob, split, dataset",False,False,True,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs,paper_ready_outputs\extracted_archives\focus_binary_benchmark\reports\final\predictions_focus_dnn.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs\paper_ready_outputs\extracted_archives\focus_binary_benchmark\reports\final\predictions_focus_dnn.csv,csv,94305,Per-sample prediction probabilities and labels.,"image_path, y_true, y_prob, split, dataset",False,False,True,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs,paper_ready_outputs\extracted_archives\focus_binary_benchmark\reports\final\predictions_hybrid_vit.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs\paper_ready_outputs\extracted_archives\focus_binary_benchmark\reports\final\predictions_hybrid_vit.csv,csv,95651,Per-sample prediction probabilities and labels.,"image_path, y_true, y_prob, split, dataset",False,False,True,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs,paper_ready_outputs\extracted_archives\focus_binary_benchmark\reports\final\predictions_transfer.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs\paper_ready_outputs\extracted_archives\focus_binary_benchmark\reports\final\predictions_transfer.csv,csv,95057,Per-sample prediction probabilities and labels.,"image_path, y_true, y_prob, split, dataset",False,False,True,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs,paper_ready_outputs\failure_case_gallery.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs\paper_ready_outputs\failure_case_gallery.csv,csv,1218,CSV artifact.,"image_path, y_true, y_prob, split, dataset, model, display_name, pred_label, case_type, distance",False,False,True,False,False
D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs,paper_ready_outputs\ranking_comparison.csv,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\paper_ready_outputs\extracted_archives\paper_ready_outputs\paper_ready_outputs\ranking_comparison.csv,csv,4479,CSV artifact.,"rank_balanced_primary, family, model_name, display_name, accuracy, precision, recall, f1, auc, balanced_accuracy, mcc, specificity",True,False,False,False,False
