model_code_name,model_display_name,holdout_dataset,holdout_dataset_code,checkpoint_path,checkpoint_exists,validation_predictions,validation_predictions_exist,test_predictions,test_predictions_exist,seed_artifact_dir,job_marker,job_marker_complete,metrics_file,metrics_exist,action,command
cnn,CNN,WBC,wbc,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\cnn_holdout_WBC_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\cnn_holdout_WBC_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs\cnn\heldout_wbc\seed_42,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_cnn_holdout_WBC.json,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\metrics\loso_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\lodo_eval.py --families cnn --manifest data/manifest_with_splits.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs --heldout wbc --seeds 42
cnn_attention,Attention-CNN,WBC,wbc,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\cnn_attention_holdout_WBC_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\cnn_attention_holdout_WBC_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs\cnn_attention\heldout_wbc\seed_42,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_cnn_attention_holdout_WBC.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\metrics\loso_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\lodo_eval.py --families cnn_attention --manifest data/manifest_with_splits.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs --heldout wbc --seeds 42
cnn_focus_hybrid,CNN--focus hybrid,WBC,wbc,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\cnn_focus_hybrid_holdout_WBC_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\cnn_focus_hybrid_holdout_WBC_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs\cnn_focus_hybrid\heldout_wbc\seed_42,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_cnn_focus_hybrid_holdout_WBC.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\metrics\loso_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\lodo_eval.py --families cnn_focus_hybrid --manifest data/manifest_with_splits.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs --heldout wbc --seeds 42
transfer,Transfer learning,WBC,wbc,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\transfer_holdout_WBC_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\transfer_holdout_WBC_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs\transfer\heldout_wbc\seed_42,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_transfer_holdout_WBC.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\metrics\loso_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\lodo_eval.py --families transfer --manifest data/manifest_with_splits.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs --heldout wbc --seeds 42
hybrid_vit,Hybrid ViT,WBC,wbc,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\hybrid_vit_holdout_WBC_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\hybrid_vit_holdout_WBC_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs\hybrid_vit\heldout_wbc\seed_42,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_hybrid_vit_holdout_WBC.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\metrics\loso_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\lodo_eval.py --families hybrid_vit --manifest data/manifest_with_splits.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs --heldout wbc --seeds 42
classical_ml,Classical ML,WBC,wbc,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\classical_ml_holdout_WBC_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\classical_ml_holdout_WBC_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs\classical_ml\heldout_wbc\seed_42,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_classical_ml_holdout_WBC.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\metrics\loso_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\lodo_eval.py --families classical_ml --manifest data/manifest_with_splits.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs --heldout wbc --seeds 42
cnn,CNN,TBF,tbf_imgs,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\cnn_holdout_TBF_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\cnn_holdout_TBF_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs\cnn\heldout_tbf_imgs\seed_42,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_cnn_holdout_TBF.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\metrics\loso_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\lodo_eval.py --families cnn --manifest data/manifest_with_splits.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs --heldout tbf_imgs --seeds 42
cnn_attention,Attention-CNN,TBF,tbf_imgs,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\cnn_attention_holdout_TBF_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\cnn_attention_holdout_TBF_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs\cnn_attention\heldout_tbf_imgs\seed_42,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_cnn_attention_holdout_TBF.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\metrics\loso_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\lodo_eval.py --families cnn_attention --manifest data/manifest_with_splits.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs --heldout tbf_imgs --seeds 42
cnn_focus_hybrid,CNN--focus hybrid,TBF,tbf_imgs,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\cnn_focus_hybrid_holdout_TBF_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\cnn_focus_hybrid_holdout_TBF_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs\cnn_focus_hybrid\heldout_tbf_imgs\seed_42,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_cnn_focus_hybrid_holdout_TBF.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\metrics\loso_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\lodo_eval.py --families cnn_focus_hybrid --manifest data/manifest_with_splits.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs --heldout tbf_imgs --seeds 42
transfer,Transfer learning,TBF,tbf_imgs,,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\transfer_holdout_TBF_val.csv,False,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\predictions\transfer_holdout_TBF_test.csv,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs\transfer\heldout_tbf_imgs\seed_42,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\job_status\loso_transfer_holdout_TBF.json,True,D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\metrics\loso_metrics.csv,True,skip_complete,D:\Dineth\myenv\Scripts\python.exe -u D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\scripts\lodo_eval.py --families transfer --manifest data/manifest_with_splits.csv --runs-dir runs --out-dir D:\Dineth\focus_binary_benchmark\focus_binary_benchmark\revision_outputs\loso\training_outputs --heldout tbf_imgs --seeds 42
